FILE ROOT,FILE NAME,DURATION,SPEAKERS,SESSION START TIME,DATE,TRANSCRIPT #,PAGE #s (from transcript),TRANSCRIPT TITLE,PROQUEST,HATHI
EKAV0118,EKAV0118_01.wav,00:32:24,General Miles Reber; Ray Jenkins; Joseph R. McCarthy; Karl E. Mundt; John McClellan,10:30 AM,"April 22, 1954",1,35-44,"Testimony of Maj. Gen. Miles Reber, part 1",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fb$2f1$2fd$2ff$2fhrg-1954-ops-0001_from_1_to_69.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0001,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0118_02.wav,00:32:01,General Miles Reber; Ray Jenkins; Joseph R. McCarthy; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Henry M. Jackson; Stuart Symington; Henry Dworshak; John McClellan,10:30 AM,"April 22, 1954",1,44-54,"Testimony of Maj. Gen. Miles Reber, part 2",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fb$2f1$2fd$2ff$2fhrg-1954-ops-0001_from_1_to_69.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0001,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0119,EKAV0119_01.wav,00:23:53,General Miles Reber; Joseph R. McCarthy; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Henry M. Jackson; Stuart Symington; Ray Jenkins; John McClellan; Henry Dworshak,10:30 AM,"April 22, 1954",2,54-62,"Testimony of Maj. Gen. Miles Reber, part 3",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2f2$2f2$2f8$2fhrg-1954-ops-0002_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0002,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0119_02.wav,00:32:09,General Miles Reber; Joseph R. McCarthy; Karl E. Mundt; Henry M. Jackson; Stuart Symington; Ray Jenkins; Roy M. Cohn; Joseph N. Welch; John McClellan,2:30 PM,"April 22, 1954",2,67-76,"Testimony of Maj. Gen. Miles Reber, part 4",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2f2$2f2$2f8$2fhrg-1954-ops-0002_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0002,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0120,EKAV0120_01.wav,00:31:52,General Walter B. Smith; Joseph R. McCarthy; Karl E. Mundt; Everett McKinley Dirksen; Charles E. Potter; Stuart Symington; Ray Jenkins; Joseph N. Welch; John McClellan; Henry Dworshak,2:30 PM,"April 22, 1954",2,83-93,Testimony of Gen. Walter B Smith,https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2f2$2f2$2f8$2fhrg-1954-ops-0002_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0002,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0120_02.wav,00:31:08,General Miles Reber; Robert T. Stevens; General Walter B. Smith; Karl Mundt; Roy M. Cohn;  Ray Jenkins; Joseph McCarthy; John McClellan; Henry Jackson; Stuart Symington,2:30 PM,"April 22, 1954",2,76-85,"Testimony of Maj. Gen. Miles Reber, part 5",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2f2$2f2$2f8$2fhrg-1954-ops-0002_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0002,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0121,EKAV0121_01.wav,00:21:43,Robert T. Stevens; Joseph R. McCarthy; Karl E. Mundt,2:30 PM,"April 22, 1954",2,93-99,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 1",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2f2$2f2$2f8$2fhrg-1954-ops-0002_from_1_to_37.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0002,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0122,EKAV0122_01.wav,00:31:33,Robert T. Stevens; Joseph R. McCarthy; Karl E. Mundt; Ray Jenkins; Joseph N. Welch; John McClellan,10:30 AM,"April 23, 1954",3,110-120,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 2",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f5$2f9$2fe$2fc$2fhrg-1954-ops-0003_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0003,https://hdl.handle.net/2027/umn.31951d02135387b
,EKAV0122_02.wav,00:31:11,Robert T. Stevens; Joseph R. McCarthy; Karl E. Mundt; Ray Jenkins; Joseph N. Welch,10:30 AM,"April 23, 1954",3,120-129,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 3",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f5$2f9$2fe$2fc$2fhrg-1954-ops-0003_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0003,https://hdl.handle.net/2027/umn.31951d02135387b
EKAV0123,EKAV0123_01.wav,00:21:38,Robert T. Stevens; Joseph R. McCarthy; Karl E. Mundt;  Ray Jenkins; Joseph N. Welch,10:30 AM,"April 23, 1954",3,129-134,"Testimony of Hon. Robert T. Stevens (Secretary, Dept. of the Army), part 4",https://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f5$2f9$2fe$2fc$2fhrg-1954-ops-0003_from_1_to_46.pdf/entitlementkeys=1234%7Capp-gis%7Chearing%7Chrg-1954-ops-0003,https://hdl.handle.net/2027/umn.31951d02135387b
